EmployeeID,Age,EducationLevel,YearsAtCompany,JobSatisfaction,WorkLifeBalance,TrainingTimesLastYear,PerformanceRating,MonthlyIncome,Gender_Encoded,Attrition_Encoded,Overtime_Encoded,Department_Encoded,JobRole_Encoded
38,47,2,7,3,3,8,2,15032,1,0,0,0,3
39,23,1,11,3,4,5,3,28557,1,0,0,0,4
40,41,2,18,1,3,7,3,32175,1,0,0,1,0
41,49,2,30,1,2,2,2,16510,0,1,0,0,4
42,28,2,1,3,3,7,2,6859,1,0,1,3,0
43,29,3,12,4,1,8,3,175304,1,0,1,0,2
44,56,3,3,3,2,6,2,15877,0,0,0,3,2
45,35,1,26,4,3,3,3,163055,0,0,0,1,3
46,38,1,28,4,2,5,3,37443,0,0,0,4,4
47,57,2,1,1,4,5,3,36550,0,1,1,1,3
48,25,2,4,2,2,1,4,62166,1,0,0,0,4
49,23,3,6,3,2,1,2,15675,0,0,0,3,3
50,27,2,5,2,3,4,4,63712,0,0,1,0,2
51,25,2,29,2,3,0,3,232875,1,0,1,0,2
52,50,2,11,2,2,4,3,163366,0,0,0,4,3
53,39,2,20,2,2,9,4,63832,0,0,1,0,4
54,47,3,23,4,3,2,3,34697,1,0,1,4,1
55,55,1,13,1,2,2,4,58937,1,0,1,3,4
56,31,3,11,2,2,7,3,163887,1,0,0,3,3
57,57,2,27,3,3,2,3,40046,1,0,0,4,4
58,35,3,6,3,1,2,3,32962,1,0,1,1,0
59,52,1,19,3,4,0,2,11861,0,0,0,3,4
60,36,2,25,4,3,7,4,181032,1,0,0,1,2
61,29,2,15,3,4,9,3,216817,0,1,0,3,2
62,35,2,21,3,2,9,3,34683,0,0,0,3,0
63,44,3,13,2,4,5,4,65572,0,0,0,2,4
64,42,2,10,2,2,7,4,60042,0,0,0,0,1
65,37,3,1,3,1,2,2,12372,1,0,0,0,4
66,39,2,13,4,1,5,3,161867,1,0,0,1,2
67,45,3,6,4,2,1,3,42515,0,0,1,0,2
68,47,1,21,3,1,2,3,207347,0,0,0,1,3
69,46,3,26,3,3,3,4,253896,0,0,0,3,2
70,50,3,24,1,2,8,4,213510,1,1,0,2,3
71,36,2,20,1,2,3,3,235995,0,0,0,2,2
72,22,2,12,1,3,6,3,158786,1,0,1,3,2
73,46,2,17,1,2,7,3,31696,0,1,1,4,1
74,28,1,27,2,3,4,3,161363,0,0,0,4,3
75,30,2,18,2,3,1,2,16136,1,0,0,0,3
76,45,2,24,3,4,7,3,193124,0,0,0,1,2
77,22,3,26,3,2,4,2,22727,1,0,0,2,3
78,29,3,8,3,4,4,3,44169,1,0,0,0,2
79,45,3,29,2,3,6,3,229426,0,1,0,3,2
80,32,2,14,2,4,5,1,11915,0,0,1,2,4
81,38,3,5,4,1,2,3,34564,0,0,0,1,3
82,29,2,22,1,3,6,1,16100,0,0,0,1,0
83,56,2,2,4,3,0,3,37426,1,1,0,4,3
84,56,2,27,2,1,3,3,217410,0,0,0,0,3
85,54,3,28,3,3,3,3,37697,0,0,0,3,1
86,26,3,25,1,3,5,3,38254,1,0,0,2,0
87,49,2,22,1,3,5,3,36156,0,1,1,1,0
88,28,3,28,2,1,9,2,16653,1,0,1,2,1
89,30,2,25,3,3,7,3,34131,0,0,0,3,1
90,29,3,11,2,1,0,3,198941,1,0,0,2,3
91,33,2,26,3,3,6,3,35310,1,0,1,0,4
92,55,2,3,2,1,3,2,8845,1,1,0,4,1
93,54,2,22,2,2,5,2,12645,0,0,0,2,0
94,44,2,26,4,2,9,2,14130,1,1,0,4,0
95,45,2,16,4,3,8,3,183189,1,1,1,3,3
96,58,2,21,3,4,2,3,34971,0,1,0,4,4
97,56,2,16,2,2,7,3,146687,0,1,0,2,2
98,43,3,9,1,2,2,3,31554,1,0,0,2,1
99,48,3,13,4,2,5,4,62066,1,0,0,1,1
100,56,2,10,2,3,1,3,37680,1,0,1,2,3
101,22,4,17,4,2,8,3,37549,1,0,0,4,4
102,56,2,25,2,2,1,1,16749,0,0,0,1,0
103,58,3,21,4,3,4,3,36697,0,1,0,2,0
104,35,2,17,2,2,5,3,201942,0,0,0,2,2
105,24,2,10,2,2,3,3,32989,1,0,1,3,0
106,22,1,8,3,2,6,4,55677,0,0,1,1,1
107,26,3,7,4,3,6,3,43361,0,0,0,3,2
108,47,2,14,4,4,6,4,65156,0,0,1,3,4
109,35,3,22,3,3,6,2,27073,0,0,1,3,2
110,48,2,18,3,2,9,3,36436,0,1,0,0,4
111,30,2,21,3,3,9,3,33773,0,0,1,3,0
112,36,2,19,3,2,8,3,150064,1,1,0,4,3
113,36,3,18,4,3,1,3,187305,0,0,0,2,2
114,47,2,14,2,3,4,3,234978,0,0,0,0,2
115,34,3,10,3,4,9,3,32970,0,0,0,3,1
116,53,2,1,3,2,8,2,7138,1,0,0,2,1
117,53,3,9,3,3,1,2,15048,0,0,1,1,4
118,25,1,18,4,3,2,2,17526,0,1,1,1,3
119,51,2,13,2,2,6,2,10898,1,1,1,2,1
120,58,2,27,2,3,8,2,14500,1,0,0,4,1
121,44,2,17,2,4,2,1,12161,0,0,0,2,0
122,36,2,30,2,4,9,3,35550,0,0,0,2,0
123,50,3,23,2,3,7,3,34575,0,0,0,0,1
124,57,2,25,4,1,7,1,14855,1,0,0,1,4
125,34,2,22,3,3,3,3,237468,0,0,0,1,3
126,53,2,16,4,3,5,4,60089,1,0,0,3,1
127,28,2,24,1,2,7,3,35243,1,0,0,2,4
128,43,2,11,4,2,8,4,61815,1,0,0,2,4
129,49,2,23,3,2,1,3,34117,1,1,1,4,1
130,23,3,9,1,1,0,4,61712,1,1,0,1,4
131,27,2,7,3,3,4,2,20892,1,0,0,4,2
132,49,3,29,4,2,9,2,18088,1,0,1,0,4
133,49,2,22,1,1,2,3,33557,1,0,0,3,1
134,41,2,1,3,2,5,4,60083,0,0,1,4,4
135,51,1,9,4,2,0,4,57412,1,0,1,1,1
136,32,3,10,1,2,3,3,34419,1,0,0,0,0
137,49,2,16,3,1,5,2,12204,0,0,0,2,1
138,46,3,21,2,2,1,3,40028,1,0,0,0,4
139,54,2,29,2,3,7,2,15615,0,0,0,4,1
140,22,3,18,3,1,3,3,196135,1,0,0,1,3
141,48,2,14,1,3,1,2,11404,1,1,0,4,1
142,34,1,28,3,2,0,3,32747,0,1,1,2,1
143,24,2,11,1,2,7,4,258691,0,0,0,2,3
144,27,2,24,2,2,9,2,18419,0,1,0,1,3
145,29,2,29,3,2,0,3,222611,0,0,0,3,3
146,48,1,4,2,2,6,2,19453,0,0,0,0,2
147,30,3,30,2,2,6,2,16497,1,0,0,0,1
148,58,2,19,4,2,5,3,142697,1,0,0,2,3
149,54,2,13,4,3,7,2,14814,1,0,0,4,3
150,45,2,1,4,1,9,4,57736,1,0,0,4,0
151,36,2,21,3,3,0,3,196064,0,0,0,3,2
152,53,1,19,4,3,0,2,11048,0,0,1,4,1
153,53,1,15,4,3,0,3,31874,1,1,0,0,4
154,45,3,20,2,2,5,2,25659,0,0,0,4,2
155,33,2,15,2,3,6,2,23376,0,0,0,3,2
156,23,2,25,1,2,9,2,14021,1,0,0,0,0
157,24,2,11,2,2,8,2,10126,1,1,0,4,1
158,58,2,30,4,1,9,3,35027,1,0,0,0,1
159,38,1,23,3,4,4,3,166908,1,0,1,2,3
160,23,2,27,3,2,0,3,201585,1,0,0,2,3
161,23,2,5,1,4,8,3,40175,0,0,0,2,2
162,49,2,24,1,2,4,3,34422,1,0,0,4,0
163,44,4,22,2,4,5,2,18358,1,0,1,3,1
164,58,2,10,4,4,8,3,29095,0,0,0,0,0
165,53,2,18,2,4,1,3,37285,0,0,1,1,4
166,54,2,7,4,2,2,1,7188,0,0,0,2,1
167,22,1,1,1,3,6,3,31294,1,0,1,2,3
168,40,3,3,3,4,2,3,41966,1,0,0,1,2
169,23,2,28,3,2,1,4,66081,0,0,0,1,0
170,47,1,1,4,2,6,2,11881,1,1,0,4,3
171,53,3,30,1,3,7,1,31715,1,0,0,0,2
172,27,1,17,1,2,8,2,19271,0,0,0,2,3
173,53,4,15,2,3,1,4,65822,0,0,1,3,1
174,25,3,5,4,1,1,3,32102,1,0,1,4,0
175,32,2,22,1,3,6,4,64064,1,1,0,4,4
176,38,1,16,1,2,3,3,178608,1,0,1,3,3
177,59,2,12,3,2,4,3,30052,1,1,1,3,0
178,45,2,19,3,2,0,2,10991,1,0,0,3,1
179,26,2,14,4,3,5,4,189980,1,0,0,1,3
180,55,2,3,4,2,9,4,57918,1,0,1,2,1
181,27,3,19,3,3,7,3,36533,0,1,0,1,4
182,43,2,1,4,3,0,3,30974,0,0,0,2,4
183,32,2,21,3,2,1,3,234725,0,0,1,1,2
184,37,2,1,2,2,6,1,15913,1,0,0,0,2
185,54,3,26,4,2,1,4,267246,1,0,1,2,2
186,30,1,10,3,2,8,3,26250,1,0,1,4,1
187,27,2,3,2,1,5,3,35568,1,0,1,2,2
188,37,3,13,3,3,4,3,33363,1,0,1,2,0
189,50,3,6,2,4,6,3,29143,0,1,0,2,1
190,24,3,11,1,2,9,2,12693,0,0,1,0,1
191,41,3,6,3,3,7,4,71581,0,0,0,1,2
192,57,2,3,4,4,8,4,68513,1,0,0,4,2
193,40,2,16,3,3,5,3,30920,0,0,0,1,1
194,47,1,9,2,3,4,3,29048,1,0,0,1,4
195,24,2,8,4,3,6,3,34362,1,1,0,3,4
196,40,2,27,1,2,1,3,164370,1,0,1,0,2
197,41,2,3,2,3,7,4,58940,0,0,0,3,4
198,53,3,5,2,4,3,2,11791,0,0,0,0,0
199,28,2,21,1,2,0,2,14281,1,0,0,1,0
200,54,2,14,2,2,2,4,60979,0,0,0,1,0
201,39,1,5,3,2,8,2,6321,0,0,0,0,1
202,22,3,19,4,2,3,3,34632,1,0,1,1,1
203,32,1,5,4,2,9,2,6553,1,1,0,1,1
204,49,1,21,4,3,9,4,59680,1,1,1,4,1
205,46,2,20,2,3,2,3,31778,0,0,0,3,1
206,44,2,20,3,2,3,4,269733,1,0,0,3,2
207,52,1,2,4,1,2,4,56683,0,0,0,3,4
208,51,3,25,2,3,2,2,23557,1,0,1,2,2
209,56,4,7,3,2,1,3,34070,0,0,0,4,4
210,28,4,1,2,2,5,3,43039,1,0,0,3,2
211,37,1,21,2,3,9,4,61749,0,0,0,3,0
212,47,3,18,3,2,5,2,23203,0,0,1,4,3
213,23,4,10,3,1,9,4,62456,0,0,0,1,1
214,22,3,6,3,2,3,2,18507,0,0,0,3,3
215,33,2,7,2,3,7,4,63906,1,0,0,1,3
216,26,3,12,3,3,5,3,32326,0,0,0,3,0
217,58,1,18,4,2,7,3,207250,1,0,0,0,3
218,53,3,11,4,2,5,3,165073,1,0,1,2,3
219,30,1,22,2,3,8,2,10886,0,0,0,3,0
220,56,2,29,1,3,2,3,40002,1,0,0,0,4
221,40,4,19,3,3,2,3,157864,0,0,1,4,2
222,37,2,25,2,3,1,3,192349,0,1,1,0,3
223,24,1,4,1,3,9,3,26201,1,0,0,4,1
224,41,4,19,2,3,5,3,36413,0,1,1,3,0
225,45,4,13,4,3,6,3,215156,1,0,0,4,3
226,54,1,27,3,3,6,4,66346,1,0,1,0,4
227,45,3,19,2,4,4,3,37699,1,1,1,2,4
228,32,2,2,2,2,5,1,5842,0,0,0,1,1
229,29,2,28,3,4,6,4,219207,0,1,0,1,3
230,57,2,9,2,3,1,4,58670,0,1,1,2,1
231,59,1,8,3,3,9,4,58940,0,1,1,1,4
232,41,2,21,1,1,6,4,63950,1,0,0,3,4
233,56,1,14,2,3,0,3,211960,1,1,0,3,2
234,46,3,30,2,3,5,2,20817,0,1,0,0,4
235,56,2,29,3,2,7,3,38463,1,0,1,0,0
236,46,3,9,3,3,0,3,46161,1,1,0,4,2
237,50,3,13,2,3,0,2,13095,1,0,0,0,1
238,39,1,18,1,2,5,2,11218,0,0,0,3,4
239,39,3,6,2,2,4,3,32857,0,0,1,0,0
240,23,3,23,3,3,2,3,220592,1,0,1,1,2
241,56,2,22,1,3,9,2,13368,1,1,0,4,0
242,37,1,3,1,1,9,3,35414,0,0,1,4,2
243,57,3,10,3,1,6,4,68945,0,0,1,3,2
244,54,3,30,3,2,6,2,31159,1,0,0,0,2
245,25,3,10,2,2,6,4,62824,0,0,0,1,1
246,54,1,10,2,2,5,3,36184,1,1,0,0,2
247,35,1,9,4,3,3,2,17328,1,0,0,2,2
248,42,2,30,4,3,8,2,18151,0,0,0,0,0
249,41,2,12,2,3,8,3,218654,0,0,0,3,2
250,29,1,24,4,1,6,2,11260,1,0,0,0,1
251,28,2,8,3,2,6,4,60026,0,0,0,4,0
252,24,2,24,4,2,7,3,172445,0,0,0,1,2
253,38,3,9,2,3,4,4,60877,0,0,1,3,0
254,54,2,17,3,3,8,3,32113,0,0,0,2,1
255,33,2,8,3,3,5,3,28867,0,0,1,1,0
256,43,3,18,2,1,6,2,13021,1,1,0,1,1
257,43,4,20,3,3,6,3,38895,1,0,0,4,4
258,51,2,17,2,3,8,3,198954,1,0,0,4,2
259,59,2,28,1,3,6,3,35843,1,0,0,4,1
260,59,3,6,2,3,2,4,71498,0,0,0,3,2
261,29,2,10,4,3,5,3,30980,0,0,1,0,1
262,48,3,1,3,1,5,4,64607,1,0,0,1,3
263,48,2,28,3,3,6,3,167753,1,0,0,0,3
264,55,2,21,3,2,5,3,234606,1,1,1,0,3
265,42,2,25,1,1,3,3,34742,1,1,1,4,1
266,51,2,1,2,1,5,2,17289,0,0,0,0,2
267,54,2,9,3,4,2,3,33293,1,0,0,1,3
268,49,1,20,4,2,0,3,209342,0,0,1,1,2
269,54,4,3,1,3,0,2,12484,0,0,1,2,1
270,26,2,24,2,4,4,3,201528,1,0,0,3,2
271,40,2,6,1,4,7,3,34359,1,0,1,0,2
272,25,3,7,2,3,2,2,20809,1,1,0,3,3
273,56,2,9,2,3,1,4,60606,0,0,0,3,0
274,38,3,5,3,2,7,3,34508,0,0,1,3,4
275,49,4,29,2,2,8,3,39095,1,0,0,3,1
276,51,2,16,2,3,8,3,30937,0,0,0,1,1
277,50,2,2,3,2,1,3,25876,0,0,0,0,1
278,27,3,3,4,1,7,1,14457,1,0,0,2,4
279,56,1,3,2,3,1,3,27569,1,0,0,3,0
280,58,1,20,3,3,6,3,194760,0,0,0,2,2
281,45,3,26,2,3,7,4,66862,0,0,0,1,1
282,50,3,23,4,3,0,3,166556,0,0,0,1,2
283,52,4,28,3,3,7,2,23046,0,0,1,4,3
284,56,1,10,4,2,2,3,31606,0,1,0,3,3
285,54,1,22,1,2,0,3,212405,1,0,0,4,3
286,42,1,3,3,4,6,1,5786,0,0,1,2,1
287,53,2,15,3,2,9,4,62157,0,1,0,0,4
288,44,2,14,2,2,2,2,11742,0,0,0,4,1
289,54,2,23,2,3,7,1,20892,1,0,1,1,3
290,24,1,4,3,2,8,1,15369,1,0,1,3,3
291,39,2,10,3,2,1,3,29732,1,0,1,2,1
292,46,2,11,1,2,0,3,30755,1,0,0,1,4
293,52,1,11,3,2,7,2,12709,1,0,0,0,4
294,24,3,8,1,2,9,4,67322,0,0,0,3,2
295,45,1,23,1,3,5,2,12124,0,0,0,0,0
296,53,3,23,3,3,9,3,178236,1,0,0,0,3
297,43,3,9,2,2,0,2,13925,0,0,0,3,4
298,44,2,8,2,2,2,4,67821,1,0,0,3,3
299,23,2,12,2,2,8,3,30631,1,0,0,0,0
300,48,2,17,3,4,8,3,218190,1,0,1,2,3
301,23,3,23,2,2,5,1,18495,0,0,1,3,4
302,47,2,15,4,4,2,3,227723,1,1,1,1,2
303,38,3,19,2,2,7,3,33765,1,0,1,4,1
304,54,4,28,3,3,5,3,38781,1,0,0,2,1
305,30,4,20,2,2,0,3,38674,0,0,0,3,4
306,50,2,6,3,1,5,4,61418,1,1,0,3,4
307,47,3,5,3,1,4,1,12239,0,0,1,2,0
308,56,4,8,2,3,7,3,38137,0,0,0,4,3
309,46,2,18,2,2,1,3,33668,0,0,0,0,0
310,45,2,21,2,2,6,3,33396,0,0,0,1,1
311,34,1,21,1,3,5,2,15251,1,0,1,3,3
312,28,1,15,2,2,0,2,8859,1,1,0,4,0
313,57,3,3,3,2,7,3,28651,0,1,1,1,1
314,41,2,14,3,3,5,4,248624,1,1,0,2,3
315,22,3,26,2,2,2,4,253419,0,0,0,3,2
316,29,3,15,2,3,4,2,25695,0,0,0,0,2
317,37,2,13,1,2,6,2,12040,0,0,0,2,0
318,35,2,21,2,2,8,3,36038,0,0,1,3,4
319,33,1,20,3,2,3,3,151083,0,0,1,4,3
320,44,3,27,3,4,1,3,38686,0,0,0,1,0
321,36,2,21,2,3,2,3,37493,1,0,0,1,4
322,49,2,26,2,4,6,3,35217,0,0,1,3,4
323,55,1,9,4,2,7,3,32651,1,0,0,2,3
324,23,3,23,2,3,4,2,23295,1,0,1,0,3
325,53,3,17,2,2,2,3,34659,0,0,1,4,4
326,44,2,19,3,2,0,3,31483,1,1,1,3,1
327,43,2,25,3,3,9,4,67271,1,0,0,4,0
328,46,3,4,2,2,0,2,20158,1,1,0,1,3
329,43,2,20,4,2,1,3,35157,0,0,0,0,4
330,43,2,10,2,2,4,4,59866,0,0,1,4,1
331,27,2,22,3,3,2,3,236484,0,0,1,3,2
332,36,1,3,1,2,6,4,58553,1,0,0,0,4
333,58,2,19,3,2,1,3,31907,0,0,1,2,1
334,54,2,9,4,4,1,4,73110,0,0,1,3,2
335,29,2,29,2,2,2,3,35876,1,0,0,4,1
336,26,1,5,3,2,0,2,15284,1,0,0,0,3
337,25,2,14,4,3,1,4,65899,1,0,0,3,4
338,27,2,7,1,3,4,4,68750,0,0,1,0,2
339,53,2,21,3,1,2,3,34129,0,0,0,0,1
340,51,2,6,4,3,9,3,34743,0,1,0,0,2
341,56,4,24,3,1,5,4,68291,1,0,0,4,0
342,37,1,8,1,3,1,2,10741,0,0,1,3,4
343,34,3,2,1,2,7,3,34343,0,0,0,1,3
344,51,2,27,2,2,3,1,24082,0,0,0,1,2
345,40,2,25,1,2,2,2,14240,0,0,1,4,1
346,38,2,26,3,4,4,3,223491,1,0,0,4,2
347,40,2,28,1,3,7,4,65073,1,0,0,0,1
348,49,3,28,2,4,8,3,212030,0,0,0,3,2
349,47,2,28,2,3,0,4,260366,0,0,1,3,3
350,58,2,14,2,1,3,1,15985,0,0,1,2,3
351,47,3,22,3,2,5,3,40528,1,0,0,2,4
352,44,2,7,3,4,5,2,12538,0,0,0,1,3
353,30,1,3,1,3,8,1,17674,1,0,0,2,2
354,33,1,20,1,4,0,2,21316,1,0,0,2,2
355,22,2,22,1,2,4,2,22074,0,1,0,1,3
356,22,2,23,2,2,9,3,36185,0,0,0,1,0
357,55,2,6,1,2,0,2,23122,1,0,1,2,2
358,53,2,21,3,2,5,3,33928,1,0,0,3,4
359,46,1,14,2,2,8,4,61216,1,0,0,2,0
360,22,3,12,4,2,3,3,175685,1,0,1,0,3
361,37,3,18,2,3,9,4,64265,0,0,1,0,1
362,26,4,12,2,2,9,4,225987,0,0,1,0,2
363,43,3,7,3,1,8,3,32072,1,0,0,4,1
364,50,3,5,3,3,2,3,31204,0,0,0,0,4
365,24,3,12,3,2,6,3,32523,0,0,0,3,0
366,33,2,9,4,3,4,2,9065,0,0,0,4,1
367,47,1,29,2,2,9,4,66014,1,1,0,4,4
368,37,2,11,4,3,0,3,30245,0,1,0,0,1
369,58,1,4,2,3,6,1,7174,1,0,0,2,1
370,43,3,14,4,4,7,3,34755,1,0,1,1,4
371,50,2,26,2,3,5,3,204420,1,0,0,2,2
372,35,2,12,2,2,0,3,28922,1,0,0,2,1
373,49,1,18,3,2,8,2,14027,1,0,1,4,4
374,26,2,7,2,3,6,3,28823,1,0,1,4,1
375,51,2,23,2,3,5,3,194259,1,0,0,4,2
376,26,2,1,2,3,3,4,57661,0,0,1,3,4
377,33,2,27,3,2,2,4,64729,0,0,0,3,1
378,37,1,30,4,3,3,3,170267,1,0,0,1,3
379,47,2,13,3,3,0,2,19565,0,0,1,4,2
380,47,2,16,4,3,8,3,31604,0,0,0,0,1
381,42,3,5,3,2,1,3,31324,0,0,0,4,0
382,57,2,19,1,4,1,3,33369,1,1,1,3,4
383,54,2,25,1,2,2,1,15058,0,0,0,4,1
384,51,4,9,3,2,0,3,44608,0,0,0,3,2
385,58,2,23,2,3,9,3,221751,0,0,1,4,2
386,44,2,28,2,2,2,3,37833,1,1,1,0,0
387,31,2,9,2,3,3,1,11096,0,1,0,1,0
388,26,3,12,3,2,8,3,31146,0,0,0,0,1
389,57,2,18,2,1,4,3,158224,0,0,0,3,3
390,55,2,27,4,2,5,3,175701,1,0,1,2,2
391,52,3,26,3,2,0,3,191320,1,0,0,0,3
392,31,1,24,3,2,2,3,164246,0,0,1,4,3
393,40,3,26,4,2,6,4,65065,0,0,0,1,1
394,53,2,10,2,3,6,1,12217,1,0,0,4,4
395,22,2,26,3,3,9,2,16039,0,0,0,4,4
396,26,3,29,4,3,0,3,37816,1,0,1,0,4
397,25,2,17,3,3,8,4,64409,0,0,0,1,0
398,37,3,19,3,2,0,3,220582,0,1,1,2,2
399,45,4,24,2,3,6,3,41119,0,0,1,4,0
400,37,2,11,3,3,1,2,17274,0,0,0,1,2
401,23,3,16,1,2,8,3,236928,1,0,0,2,2
402,49,1,8,4,3,8,3,39507,0,1,0,4,2
403,53,3,30,4,2,8,3,36233,1,0,0,1,1
404,48,2,26,4,3,3,3,35408,0,0,0,0,4
405,41,2,24,3,2,5,3,33729,0,0,0,4,0
406,45,2,27,1,2,1,2,17282,0,0,0,4,0
407,33,2,15,1,2,2,1,11376,1,0,0,1,1
408,56,2,28,4,2,5,3,173141,0,0,0,4,2
409,54,3,11,2,3,0,3,32708,1,0,0,2,4
410,54,3,7,2,4,6,3,35410,1,0,0,4,3
411,58,1,2,3,2,1,3,33698,0,0,0,3,3
412,33,1,19,2,2,7,1,10703,1,0,1,2,1
413,24,3,9,3,2,4,3,31917,0,0,1,1,4
414,22,2,18,2,3,6,4,248967,1,1,0,2,3
415,54,1,13,3,2,7,3,157303,1,0,0,3,3
416,31,2,23,4,4,2,3,33012,0,0,0,3,0
417,50,2,1,1,3,5,3,31556,0,0,1,4,4
418,34,2,19,2,3,8,3,199263,1,1,0,4,3
419,33,3,13,2,3,3,2,12924,0,0,1,0,0
420,52,2,14,4,3,9,2,13846,0,0,0,2,4
421,23,1,17,2,3,6,2,15414,0,0,1,0,2
422,56,3,22,2,3,0,3,35825,1,0,0,3,4
423,44,2,20,3,3,6,2,11478,0,0,0,4,1
424,38,2,1,2,3,8,4,58838,0,0,0,4,0
425,47,2,5,4,3,9,4,71914,0,1,0,4,2
426,29,1,30,4,4,7,3,34715,1,0,0,1,0
427,50,2,20,3,4,3,3,33930,0,0,0,3,0
428,47,1,14,3,3,2,1,16815,0,0,0,4,3
429,31,2,27,1,1,6,3,35187,0,0,0,3,4
430,47,1,26,3,2,0,4,62782,1,0,0,4,0
431,55,2,30,3,3,7,1,15479,0,0,0,2,0
432,28,3,27,2,1,0,2,15408,0,0,1,3,1
433,25,2,26,2,2,6,2,15502,1,1,0,0,1
434,32,2,18,4,2,5,3,30939,1,1,0,1,1
435,50,3,13,2,3,9,2,13391,0,0,0,0,0
436,57,2,23,3,3,7,3,195034,1,0,0,3,2
437,46,2,12,1,2,5,3,32960,0,0,1,4,4
438,42,2,15,2,2,4,2,10679,0,1,0,3,0
439,57,3,24,4,3,8,3,205285,0,0,0,1,3
440,31,1,4,2,4,3,2,12257,1,1,0,3,2
441,58,2,9,3,1,6,2,22452,1,0,0,4,2
442,30,2,3,2,2,5,2,12359,0,0,1,0,4
443,45,2,29,2,3,9,3,233291,1,0,0,2,2
444,56,3,22,4,3,5,4,69811,0,0,0,0,4
445,56,2,11,3,3,4,2,17461,1,0,1,4,2
446,57,1,30,4,3,1,2,15565,1,1,0,4,4
447,39,4,15,4,3,3,4,64094,1,0,0,1,1
448,53,1,16,4,2,0,3,30326,0,0,0,3,1
449,45,1,30,4,2,8,2,25007,0,0,1,3,2
450,44,2,7,1,3,8,3,39371,1,0,0,0,2
451,53,3,7,4,3,7,4,63034,1,0,1,2,4
452,58,3,22,1,3,3,2,19882,1,0,0,2,4
453,33,3,9,1,4,4,2,14627,0,0,0,1,0
454,34,1,17,1,3,0,2,10486,1,0,0,4,1
455,44,2,13,2,3,3,3,31746,0,1,0,1,0
456,46,2,9,3,1,3,2,10112,0,0,0,3,0
457,56,3,29,2,2,4,4,257592,0,1,0,4,3
458,51,2,9,1,3,1,3,29956,1,0,0,1,4
459,38,1,20,2,2,1,3,237192,0,0,0,0,3
460,41,3,29,2,1,1,2,22793,1,1,0,3,3
461,46,2,28,3,4,7,4,67731,1,1,0,2,0
462,43,2,12,2,3,1,3,218430,0,0,0,1,3
463,34,3,21,2,2,5,3,37975,0,0,0,3,4
464,40,2,19,2,3,1,4,61711,1,1,0,3,0
465,57,2,23,2,1,7,4,65948,1,0,0,2,4
466,33,2,15,3,2,0,3,158793,0,0,0,2,2
467,40,2,18,2,3,1,3,155728,1,0,0,2,3
468,33,1,8,2,3,4,2,9288,0,1,1,1,0
469,30,2,25,2,1,5,4,62549,0,0,0,2,1
470,28,2,6,2,2,8,4,60465,1,0,0,0,4
471,49,3,25,4,2,5,3,183611,1,0,0,3,3
472,35,2,6,2,4,7,3,33241,1,0,0,2,4
473,52,2,3,4,3,6,3,31831,0,0,0,3,4
474,40,2,26,3,2,0,2,22698,0,0,0,4,2
