EmployeeID,Age,Gender,Department,EducationLevel,JobRole,YearsAtCompany,JobSatisfaction,WorkLifeBalance,TrainingTimesLastYear,Overtime,PerformanceRating,Attrition,MonthlyIncome
53,39,Female,Finance,2,Specialist,20,2,2,9,Yes,4,No,63832
54,47,Male,Sales,3,Clerk,23,4,3,2,Yes,3,No,34697
55,55,Male,Marketing,1,Specialist,13,1,2,2,Yes,4,No,58937
56,31,Male,Marketing,3,Manager,11,2,2,7,No,3,No,163887
57,57,Male,Sales,2,Specialist,27,3,3,2,No,3,No,40046
58,35,Male,HR,3,Analyst,6,3,1,2,Yes,3,No,32962
59,52,Female,Marketing,1,Specialist,19,3,4,0,No,2,No,11861
60,36,Male,HR,2,Executive,25,4,3,7,No,4,No,181032
61,29,Female,Marketing,2,Executive,15,3,4,9,No,3,Yes,216817
62,35,Female,Marketing,2,Analyst,21,3,2,9,No,3,No,34683
63,44,Female,IT,3,Specialist,13,2,4,5,No,4,No,65572
64,42,Female,Finance,2,Clerk,10,2,2,7,No,4,No,60042
65,37,Male,Finance,3,Specialist,1,3,1,2,No,2,No,12372
66,39,Male,HR,2,Executive,13,4,1,5,No,3,No,161867
67,45,Female,Finance,3,Executive,6,4,2,1,Yes,3,No,42515
68,47,Female,HR,1,Manager,21,3,1,2,No,3,No,207347
69,46,Female,Marketing,3,Executive,26,3,3,3,No,4,No,253896
70,50,Male,IT,3,Manager,24,1,2,8,No,4,Yes,213510
71,36,Female,IT,2,Executive,20,1,2,3,No,3,No,235995
72,22,Male,Marketing,2,Executive,12,1,3,6,Yes,3,No,158786
73,46,Female,Sales,2,Clerk,17,1,2,7,Yes,3,Yes,31696
74,28,Female,Sales,1,Manager,27,2,3,4,No,3,No,161363
75,30,Male,Finance,2,Manager,18,2,3,1,No,2,No,16136
76,45,Female,HR,2,Executive,24,3,4,7,No,3,No,193124
77,22,Male,IT,3,Manager,26,3,2,4,No,2,No,22727
78,29,Male,Finance,3,Executive,8,3,4,4,No,3,No,44169
79,45,Female,Marketing,3,Executive,29,2,3,6,No,3,Yes,229426
80,32,Female,IT,2,Specialist,14,2,4,5,Yes,1,No,11915
81,38,Female,HR,3,Manager,5,4,1,2,No,3,No,34564
82,29,Female,HR,2,Analyst,22,1,3,6,No,1,No,16100
83,56,Male,Sales,2,Manager,2,4,3,0,No,3,Yes,37426
84,56,Female,Finance,2,Manager,27,2,1,3,No,3,No,217410
85,54,Female,Marketing,3,Clerk,28,3,3,3,No,3,No,37697
86,26,Male,IT,3,Analyst,25,1,3,5,No,3,No,38254
87,49,Female,HR,2,Analyst,22,1,3,5,Yes,3,Yes,36156
88,28,Male,IT,3,Clerk,28,2,1,9,Yes,2,No,16653
89,30,Female,Marketing,2,Clerk,25,3,3,7,No,3,No,34131
90,29,Male,IT,3,Manager,11,2,1,0,No,3,No,198941
91,33,Male,Finance,2,Specialist,26,3,3,6,Yes,3,No,35310
92,55,Male,Sales,2,Clerk,3,2,1,3,No,2,Yes,8845
93,54,Female,IT,2,Analyst,22,2,2,5,No,2,No,12645
94,44,Male,Sales,2,Analyst,26,4,2,9,No,2,Yes,14130
95,45,Male,Marketing,2,Manager,16,4,3,8,Yes,3,Yes,183189
96,58,Female,Sales,2,Specialist,21,3,4,2,No,3,Yes,34971
97,56,Female,IT,2,Executive,16,2,2,7,No,3,Yes,146687
98,43,Male,IT,3,Clerk,9,1,2,2,No,3,No,31554
99,48,Male,HR,3,Clerk,13,4,2,5,No,4,No,62066
100,56,Male,IT,2,Manager,10,2,3,1,Yes,3,No,37680
101,22,Male,Sales,4,Specialist,17,4,2,8,No,3,No,37549
102,56,Female,HR,2,Analyst,25,2,2,1,No,1,No,16749
103,58,Female,IT,3,Analyst,21,4,3,4,No,3,Yes,36697
104,35,Female,IT,2,Executive,17,2,2,5,No,3,No,201942
105,24,Male,Marketing,2,Analyst,10,2,2,3,Yes,3,No,32989
106,22,Female,HR,1,Clerk,8,3,2,6,Yes,4,No,55677
107,26,Female,Marketing,3,Executive,7,4,3,6,No,3,No,43361
108,47,Female,Marketing,2,Specialist,14,4,4,6,Yes,4,No,65156
109,35,Female,Marketing,3,Executive,22,3,3,6,Yes,2,No,27073
110,48,Female,Finance,2,Specialist,18,3,2,9,No,3,Yes,36436
111,30,Female,Marketing,2,Analyst,21,3,3,9,Yes,3,No,33773
112,36,Male,Sales,2,Manager,19,3,2,8,No,3,Yes,150064
113,36,Female,IT,3,Executive,18,4,3,1,No,3,No,187305
114,47,Female,Finance,2,Executive,14,2,3,4,No,3,No,234978
115,34,Female,Marketing,3,Clerk,10,3,4,9,No,3,No,32970
116,53,Male,IT,2,Clerk,1,3,2,8,No,2,No,7138
117,53,Female,HR,3,Specialist,9,3,3,1,Yes,2,No,15048
118,25,Female,HR,1,Manager,18,4,3,2,Yes,2,Yes,17526
119,51,Male,IT,2,Clerk,13,2,2,6,Yes,2,Yes,10898
120,58,Male,Sales,2,Clerk,27,2,3,8,No,2,No,14500
121,44,Female,IT,2,Analyst,17,2,4,2,No,1,No,12161
122,36,Female,IT,2,Analyst,30,2,4,9,No,3,No,35550
123,50,Female,Finance,3,Clerk,23,2,3,7,No,3,No,34575
124,57,Male,HR,2,Specialist,25,4,1,7,No,1,No,14855
125,34,Female,HR,2,Manager,22,3,3,3,No,3,No,237468
126,53,Male,Marketing,2,Clerk,16,4,3,5,No,4,No,60089
127,28,Male,IT,2,Specialist,24,1,2,7,No,3,No,35243
128,43,Male,IT,2,Specialist,11,4,2,8,No,4,No,61815
129,49,Male,Sales,2,Clerk,23,3,2,1,Yes,3,Yes,34117
130,23,Male,HR,3,Specialist,9,1,1,0,No,4,Yes,61712
131,27,Male,Sales,2,Executive,7,3,3,4,No,2,No,20892
132,49,Male,Finance,3,Specialist,29,4,2,9,Yes,2,No,18088
133,49,Male,Marketing,2,Clerk,22,1,1,2,No,3,No,33557
134,41,Female,Sales,2,Specialist,1,3,2,5,Yes,4,No,60083
135,51,Male,HR,1,Clerk,9,4,2,0,Yes,4,No,57412
136,32,Male,Finance,3,Analyst,10,1,2,3,No,3,No,34419
137,49,Female,IT,2,Clerk,16,3,1,5,No,2,No,12204
138,46,Male,Finance,3,Specialist,21,2,2,1,No,3,No,40028
139,54,Female,Sales,2,Clerk,29,2,3,7,No,2,No,15615
140,22,Male,HR,3,Manager,18,3,1,3,No,3,No,196135
141,48,Male,Sales,2,Clerk,14,1,3,1,No,2,Yes,11404
142,34,Female,IT,1,Clerk,28,3,2,0,Yes,3,Yes,32747
143,24,Female,IT,2,Manager,11,1,2,7,No,4,No,258691
144,27,Female,HR,2,Manager,24,2,2,9,No,2,Yes,18419
145,29,Female,Marketing,2,Manager,29,3,2,0,No,3,No,222611
146,48,Female,Finance,1,Executive,4,2,2,6,No,2,No,19453
147,30,Male,Finance,3,Clerk,30,2,2,6,No,2,No,16497
148,58,Male,IT,2,Manager,19,4,2,5,No,3,No,142697
149,54,Male,Sales,2,Manager,13,4,3,7,No,2,No,14814
150,45,Male,Sales,2,Analyst,1,4,1,9,No,4,No,57736
151,36,Female,Marketing,2,Executive,21,3,3,0,No,3,No,196064
152,53,Female,Sales,1,Clerk,19,4,3,0,Yes,2,No,11048
153,53,Male,Finance,1,Specialist,15,4,3,0,No,3,Yes,31874
154,45,Female,Sales,3,Executive,20,2,2,5,No,2,No,25659
155,33,Female,Marketing,2,Executive,15,2,3,6,No,2,No,23376
156,23,Male,Finance,2,Analyst,25,1,2,9,No,2,No,14021
157,24,Male,Sales,2,Clerk,11,2,2,8,No,2,Yes,10126
158,58,Male,Finance,2,Clerk,30,4,1,9,No,3,No,35027
159,38,Male,IT,1,Manager,23,3,4,4,Yes,3,No,166908
160,23,Male,IT,2,Manager,27,3,2,0,No,3,No,201585
161,23,Female,IT,2,Executive,5,1,4,8,No,3,No,40175
162,49,Male,Sales,2,Analyst,24,1,2,4,No,3,No,34422
163,44,Male,Marketing,4,Clerk,22,2,4,5,Yes,2,No,18358
164,58,Female,Finance,2,Analyst,10,4,4,8,No,3,No,29095
165,53,Female,HR,2,Specialist,18,2,4,1,Yes,3,No,37285
166,54,Female,IT,2,Clerk,7,4,2,2,No,1,No,7188
167,22,Male,IT,1,Manager,1,1,3,6,Yes,3,No,31294
168,40,Male,HR,3,Executive,3,3,4,2,No,3,No,41966
169,23,Female,HR,2,Analyst,28,3,2,1,No,4,No,66081
170,47,Male,Sales,1,Manager,1,4,2,6,No,2,Yes,11881
171,53,Male,Finance,3,Executive,30,1,3,7,No,1,No,31715
172,27,Female,IT,1,Manager,17,1,2,8,No,2,No,19271
173,53,Female,Marketing,4,Clerk,15,2,3,1,Yes,4,No,65822
174,25,Male,Sales,3,Analyst,5,4,1,1,Yes,3,No,32102
175,32,Male,Sales,2,Specialist,22,1,3,6,No,4,Yes,64064
176,38,Male,Marketing,1,Manager,16,1,2,3,Yes,3,No,178608
177,59,Male,Marketing,2,Analyst,12,3,2,4,Yes,3,Yes,30052
178,45,Male,Marketing,2,Clerk,19,3,2,0,No,2,No,10991
179,26,Male,HR,2,Manager,14,4,3,5,No,4,No,189980
180,55,Male,IT,2,Clerk,3,4,2,9,Yes,4,No,57918
181,27,Female,HR,3,Specialist,19,3,3,7,No,3,Yes,36533
182,43,Female,IT,2,Specialist,1,4,3,0,No,3,No,30974
183,32,Female,HR,2,Executive,21,3,2,1,Yes,3,No,234725
184,37,Male,Finance,2,Executive,1,2,2,6,No,1,No,15913
185,54,Male,IT,3,Executive,26,4,2,1,Yes,4,No,267246
186,30,Male,Sales,1,Clerk,10,3,2,8,Yes,3,No,26250
187,27,Male,IT,2,Executive,3,2,1,5,Yes,3,No,35568
188,37,Male,IT,3,Analyst,13,3,3,4,Yes,3,No,33363
189,50,Female,IT,3,Clerk,6,2,4,6,No,3,Yes,29143
190,24,Female,Finance,3,Clerk,11,1,2,9,Yes,2,No,12693
191,41,Female,HR,3,Executive,6,3,3,7,No,4,No,71581
192,57,Male,Sales,2,Executive,3,4,4,8,No,4,No,68513
193,40,Female,HR,2,Clerk,16,3,3,5,No,3,No,30920
194,47,Male,HR,1,Specialist,9,2,3,4,No,3,No,29048
195,24,Male,Marketing,2,Specialist,8,4,3,6,No,3,Yes,34362
196,40,Male,Finance,2,Executive,27,1,2,1,Yes,3,No,164370
197,41,Female,Marketing,2,Specialist,3,2,3,7,No,4,No,58940
198,53,Female,Finance,3,Analyst,5,2,4,3,No,2,No,11791
199,28,Male,HR,2,Analyst,21,1,2,0,No,2,No,14281
200,54,Female,HR,2,Analyst,14,2,2,2,No,4,No,60979
201,39,Female,Finance,1,Clerk,5,3,2,8,No,2,No,6321
202,22,Male,HR,3,Clerk,19,4,2,3,Yes,3,No,34632
203,32,Male,HR,1,Clerk,5,4,2,9,No,2,Yes,6553
204,49,Male,Sales,1,Clerk,21,4,3,9,Yes,4,Yes,59680
205,46,Female,Marketing,2,Clerk,20,2,3,2,No,3,No,31778
206,44,Male,Marketing,2,Executive,20,3,2,3,No,4,No,269733
207,52,Female,Marketing,1,Specialist,2,4,1,2,No,4,No,56683
208,51,Male,IT,3,Executive,25,2,3,2,Yes,2,No,23557
209,56,Female,Sales,4,Specialist,7,3,2,1,No,3,No,34070
210,28,Male,Marketing,4,Executive,1,2,2,5,No,3,No,43039
211,37,Female,Marketing,1,Analyst,21,2,3,9,No,4,No,61749
212,47,Female,Sales,3,Manager,18,3,2,5,Yes,2,No,23203
213,23,Female,HR,4,Clerk,10,3,1,9,No,4,No,62456
214,22,Female,Marketing,3,Manager,6,3,2,3,No,2,No,18507
215,33,Male,HR,2,Manager,7,2,3,7,No,4,No,63906
216,26,Female,Marketing,3,Analyst,12,3,3,5,No,3,No,32326
217,58,Male,Finance,1,Manager,18,4,2,7,No,3,No,207250
218,53,Male,IT,3,Manager,11,4,2,5,Yes,3,No,165073
219,30,Female,Marketing,1,Analyst,22,2,3,8,No,2,No,10886
220,56,Male,Finance,2,Specialist,29,1,3,2,No,3,No,40002
221,40,Female,Sales,4,Executive,19,3,3,2,Yes,3,No,157864
222,37,Female,Finance,2,Manager,25,2,3,1,Yes,3,Yes,192349
223,24,Male,Sales,1,Clerk,4,1,3,9,No,3,No,26201
224,41,Female,Marketing,4,Analyst,19,2,3,5,Yes,3,Yes,36413
225,45,Male,Sales,4,Manager,13,4,3,6,No,3,No,215156
226,54,Male,Finance,1,Specialist,27,3,3,6,Yes,4,No,66346
227,45,Male,IT,3,Specialist,19,2,4,4,Yes,3,Yes,37699
228,32,Female,HR,2,Clerk,2,2,2,5,No,1,No,5842
229,29,Female,HR,2,Manager,28,3,4,6,No,4,Yes,219207
230,57,Female,IT,2,Clerk,9,2,3,1,Yes,4,Yes,58670
231,59,Female,HR,1,Specialist,8,3,3,9,Yes,4,Yes,58940
232,41,Male,Marketing,2,Specialist,21,1,1,6,No,4,No,63950
233,56,Male,Marketing,1,Executive,14,2,3,0,No,3,Yes,211960
234,46,Female,Finance,3,Specialist,30,2,3,5,No,2,Yes,20817
235,56,Male,Finance,2,Analyst,29,3,2,7,Yes,3,No,38463
236,46,Male,Sales,3,Executive,9,3,3,0,No,3,Yes,46161
237,50,Male,Finance,3,Clerk,13,2,3,0,No,2,No,13095
238,39,Female,Marketing,1,Specialist,18,1,2,5,No,2,No,11218
239,39,Female,Finance,3,Analyst,6,2,2,4,Yes,3,No,32857
240,23,Male,HR,3,Executive,23,3,3,2,Yes,3,No,220592
241,56,Male,Sales,2,Analyst,22,1,3,9,No,2,Yes,13368
242,37,Female,Sales,1,Executive,3,1,1,9,Yes,3,No,35414
243,57,Female,Marketing,3,Executive,10,3,1,6,Yes,4,No,68945
244,54,Male,Finance,3,Executive,30,3,2,6,No,2,No,31159
245,25,Female,HR,3,Clerk,10,2,2,6,No,4,No,62824
246,54,Male,Finance,1,Executive,10,2,2,5,No,3,Yes,36184
247,35,Male,IT,1,Executive,9,4,3,3,No,2,No,17328
248,42,Female,Finance,2,Analyst,30,4,3,8,No,2,No,18151
249,41,Female,Marketing,2,Executive,12,2,3,8,No,3,No,218654
250,29,Male,Finance,1,Clerk,24,4,1,6,No,2,No,11260
251,28,Female,Sales,2,Analyst,8,3,2,6,No,4,No,60026
252,24,Female,HR,2,Executive,24,4,2,7,No,3,No,172445
253,38,Female,Marketing,3,Analyst,9,2,3,4,Yes,4,No,60877
254,54,Female,IT,2,Clerk,17,3,3,8,No,3,No,32113
255,33,Female,HR,2,Analyst,8,3,3,5,Yes,3,No,28867
256,43,Male,HR,3,Clerk,18,2,1,6,No,2,Yes,13021
257,43,Male,Sales,4,Specialist,20,3,3,6,No,3,No,38895
258,51,Male,Sales,2,Executive,17,2,3,8,No,3,No,198954
259,59,Male,Sales,2,Clerk,28,1,3,6,No,3,No,35843
260,59,Female,Marketing,3,Executive,6,2,3,2,No,4,No,71498
261,29,Female,Finance,2,Clerk,10,4,3,5,Yes,3,No,30980
262,48,Male,HR,3,Manager,1,3,1,5,No,4,No,64607
263,48,Male,Finance,2,Manager,28,3,3,6,No,3,No,167753
264,55,Male,Finance,2,Manager,21,3,2,5,Yes,3,Yes,234606
265,42,Male,Sales,2,Clerk,25,1,1,3,Yes,3,Yes,34742
266,51,Female,Finance,2,Executive,1,2,1,5,No,2,No,17289
267,54,Male,HR,2,Manager,9,3,4,2,No,3,No,33293
268,49,Female,HR,1,Executive,20,4,2,0,Yes,3,No,209342
269,54,Female,IT,4,Clerk,3,1,3,0,Yes,2,No,12484
270,26,Male,Marketing,2,Executive,24,2,4,4,No,3,No,201528
271,40,Male,Finance,2,Executive,6,1,4,7,Yes,3,No,34359
272,25,Male,Marketing,3,Manager,7,2,3,2,No,2,Yes,20809
273,56,Female,Marketing,2,Analyst,9,2,3,1,No,4,No,60606
274,38,Female,Marketing,3,Specialist,5,3,2,7,Yes,3,No,34508
275,49,Male,Marketing,4,Clerk,29,2,2,8,No,3,No,39095
276,51,Female,HR,2,Clerk,16,2,3,8,No,3,No,30937
277,50,Female,Finance,2,Clerk,2,3,2,1,No,3,No,25876
278,27,Male,IT,3,Specialist,3,4,1,7,No,1,No,14457
279,56,Male,Marketing,1,Analyst,3,2,3,1,No,3,No,27569
280,58,Female,IT,1,Executive,20,3,3,6,No,3,No,194760
281,45,Female,HR,3,Clerk,26,2,3,7,No,4,No,66862
282,50,Female,HR,3,Executive,23,4,3,0,No,3,No,166556
283,52,Female,Sales,4,Manager,28,3,3,7,Yes,2,No,23046
284,56,Female,Marketing,1,Manager,10,4,2,2,No,3,Yes,31606
285,54,Male,Sales,1,Manager,22,1,2,0,No,3,No,212405
286,42,Female,IT,1,Clerk,3,3,4,6,Yes,1,No,5786
287,53,Female,Finance,2,Specialist,15,3,2,9,No,4,Yes,62157
288,44,Female,Sales,2,Clerk,14,2,2,2,No,2,No,11742
289,54,Male,HR,2,Manager,23,2,3,7,Yes,1,No,20892
290,24,Male,Marketing,1,Manager,4,3,2,8,Yes,1,No,15369
291,39,Male,IT,2,Clerk,10,3,2,1,Yes,3,No,29732
292,46,Male,HR,2,Specialist,11,1,2,0,No,3,No,30755
293,52,Male,Finance,1,Specialist,11,3,2,7,No,2,No,12709
294,24,Female,Marketing,3,Executive,8,1,2,9,No,4,No,67322
295,45,Female,Finance,1,Analyst,23,1,3,5,No,2,No,12124
296,53,Male,Finance,3,Manager,23,3,3,9,No,3,No,178236
297,43,Female,Marketing,3,Specialist,9,2,2,0,No,2,No,13925
298,44,Male,Marketing,2,Manager,8,2,2,2,No,4,No,67821
299,23,Male,Finance,2,Analyst,12,2,2,8,No,3,No,30631
300,48,Male,IT,2,Manager,17,3,4,8,Yes,3,No,218190
301,23,Female,Marketing,3,Specialist,23,2,2,5,Yes,1,No,18495
302,47,Male,HR,2,Executive,15,4,4,2,Yes,3,Yes,227723
303,38,Male,Sales,3,Clerk,19,2,2,7,Yes,3,No,33765
304,54,Male,IT,4,Clerk,28,3,3,5,No,3,No,38781
305,30,Female,Marketing,4,Specialist,20,2,2,0,No,3,No,38674
306,50,Male,Marketing,2,Specialist,6,3,1,5,No,4,Yes,61418
307,47,Female,IT,3,Analyst,5,3,1,4,Yes,1,No,12239
308,56,Female,Sales,4,Manager,8,2,3,7,No,3,No,38137
309,46,Female,Finance,2,Analyst,18,2,2,1,No,3,No,33668
310,45,Female,HR,2,Clerk,21,2,2,6,No,3,No,33396
311,34,Male,Marketing,1,Manager,21,1,3,5,Yes,2,No,15251
312,28,Male,Sales,1,Analyst,15,2,2,0,No,2,Yes,8859
313,57,Female,HR,3,Clerk,3,3,2,7,Yes,3,Yes,28651
314,41,Male,IT,2,Manager,14,3,3,5,No,4,Yes,248624
315,22,Female,Marketing,3,Executive,26,2,2,2,No,4,No,253419
316,29,Female,Finance,3,Executive,15,2,3,4,No,2,No,25695
317,37,Female,IT,2,Analyst,13,1,2,6,No,2,No,12040
318,35,Female,Marketing,2,Specialist,21,2,2,8,Yes,3,No,36038
319,33,Female,Sales,1,Manager,20,3,2,3,Yes,3,No,151083
320,44,Female,HR,3,Analyst,27,3,4,1,No,3,No,38686
321,36,Male,HR,2,Specialist,21,2,3,2,No,3,No,37493
322,49,Female,Marketing,2,Specialist,26,2,4,6,Yes,3,No,35217
323,55,Male,IT,1,Manager,9,4,2,7,No,3,No,32651
324,23,Male,Finance,3,Manager,23,2,3,4,Yes,2,No,23295
325,53,Female,Sales,3,Specialist,17,2,2,2,Yes,3,No,34659
326,44,Male,Marketing,2,Clerk,19,3,2,0,Yes,3,Yes,31483
327,43,Male,Sales,2,Analyst,25,3,3,9,No,4,No,67271
328,46,Male,HR,3,Manager,4,2,2,0,No,2,Yes,20158
329,43,Female,Finance,2,Specialist,20,4,2,1,No,3,No,35157
330,43,Female,Sales,2,Clerk,10,2,2,4,Yes,4,No,59866
331,27,Female,Marketing,2,Executive,22,3,3,2,Yes,3,No,236484
332,36,Male,Finance,1,Specialist,3,1,2,6,No,4,No,58553
333,58,Female,IT,2,Clerk,19,3,2,1,Yes,3,No,31907
334,54,Female,Marketing,2,Executive,9,4,4,1,Yes,4,No,73110
335,29,Male,Sales,2,Clerk,29,2,2,2,No,3,No,35876
336,26,Male,Finance,1,Manager,5,3,2,0,No,2,No,15284
337,25,Male,Marketing,2,Specialist,14,4,3,1,No,4,No,65899
338,27,Female,Finance,2,Executive,7,1,3,4,Yes,4,No,68750
339,53,Female,Finance,2,Clerk,21,3,1,2,No,3,No,34129
340,51,Female,Finance,2,Executive,6,4,3,9,No,3,Yes,34743
341,56,Male,Sales,4,Analyst,24,3,1,5,No,4,No,68291
342,37,Female,Marketing,1,Specialist,8,1,3,1,Yes,2,No,10741
343,34,Female,HR,3,Manager,2,1,2,7,No,3,No,34343
344,51,Female,HR,2,Executive,27,2,2,3,No,1,No,24082
345,40,Female,Sales,2,Clerk,25,1,2,2,Yes,2,No,14240
346,38,Male,Sales,2,Executive,26,3,4,4,No,3,No,223491
347,40,Male,Finance,2,Clerk,28,1,3,7,No,4,No,65073
348,49,Female,Marketing,3,Executive,28,2,4,8,No,3,No,212030
349,47,Female,Marketing,2,Manager,28,2,3,0,Yes,4,No,260366
350,58,Female,IT,2,Manager,14,2,1,3,Yes,1,No,15985
351,47,Male,IT,3,Specialist,22,3,2,5,No,3,No,40528
352,44,Female,HR,2,Manager,7,3,4,5,No,2,No,12538
353,30,Male,IT,1,Executive,3,1,3,8,No,1,No,17674
354,33,Male,IT,1,Executive,20,1,4,0,No,2,No,21316
355,22,Female,HR,2,Manager,22,1,2,4,No,2,Yes,22074
356,22,Female,HR,2,Analyst,23,2,2,9,No,3,No,36185
357,55,Male,IT,2,Executive,6,1,2,0,Yes,2,No,23122
358,53,Male,Marketing,2,Specialist,21,3,2,5,No,3,No,33928
359,46,Male,IT,1,Analyst,14,2,2,8,No,4,No,61216
360,22,Male,Finance,3,Manager,12,4,2,3,Yes,3,No,175685
361,37,Female,Finance,3,Clerk,18,2,3,9,Yes,4,No,64265
362,26,Female,Finance,4,Executive,12,2,2,9,Yes,4,No,225987
363,43,Male,Sales,3,Clerk,7,3,1,8,No,3,No,32072
364,50,Female,Finance,3,Specialist,5,3,3,2,No,3,No,31204
365,24,Female,Marketing,3,Analyst,12,3,2,6,No,3,No,32523
366,33,Female,Sales,2,Clerk,9,4,3,4,No,2,No,9065
367,47,Male,Sales,1,Specialist,29,2,2,9,No,4,Yes,66014
368,37,Female,Finance,2,Clerk,11,4,3,0,No,3,Yes,30245
369,58,Male,IT,1,Clerk,4,2,3,6,No,1,No,7174
370,43,Male,HR,3,Specialist,14,4,4,7,Yes,3,No,34755
371,50,Male,IT,2,Executive,26,2,3,5,No,3,No,204420
372,35,Male,IT,2,Clerk,12,2,2,0,No,3,No,28922
373,49,Male,Sales,1,Specialist,18,3,2,8,Yes,2,No,14027
374,26,Male,Sales,2,Clerk,7,2,3,6,Yes,3,No,28823
375,51,Male,Sales,2,Executive,23,2,3,5,No,3,No,194259
376,26,Female,Marketing,2,Specialist,1,2,3,3,Yes,4,No,57661
377,33,Female,Marketing,2,Clerk,27,3,2,2,No,4,No,64729
378,37,Male,HR,1,Manager,30,4,3,3,No,3,No,170267
379,47,Female,Sales,2,Executive,13,3,3,0,Yes,2,No,19565
380,47,Female,Finance,2,Clerk,16,4,3,8,No,3,No,31604
381,42,Female,Sales,3,Analyst,5,3,2,1,No,3,No,31324
382,57,Male,Marketing,2,Specialist,19,1,4,1,Yes,3,Yes,33369
383,54,Female,Sales,2,Clerk,25,1,2,2,No,1,No,15058
384,51,Female,Marketing,4,Executive,9,3,2,0,No,3,No,44608
385,58,Female,Sales,2,Executive,23,2,3,9,Yes,3,No,221751
386,44,Male,Finance,2,Analyst,28,2,2,2,Yes,3,Yes,37833
387,31,Female,HR,2,Analyst,9,2,3,3,No,1,Yes,11096
388,26,Female,Finance,3,Clerk,12,3,2,8,No,3,No,31146
389,57,Female,Marketing,2,Manager,18,2,1,4,No,3,No,158224
